System,Algorithm,E_ATC_insample,VaR90_insample,E_ATC_OOS,VaR90_OOS,VaR95_OOS,VaR99_OOS,Bias_E_ATC,Bias_VaR90,Bias_pct,VaR90_satisfied
IEEE 30-Bus,BBO,0.774025,0.720521,0.784878,0.721629,0.713182,0.707344,0.010853,0.001108,1.4022,True
IEEE 30-Bus,GWO,0.782335,0.702713,0.791744,0.705725,0.69763,0.692515,0.009409,0.003012,1.2027,True
IEEE 30-Bus,SHO,0.638058,0.636937,0.638036,0.637017,0.636831,0.636488,-2.2e-05,8e-05,-0.0034,False
IEEE 30-Bus,CSHO,0.638306,0.636522,0.638282,0.636659,0.636342,0.635742,-2.4e-05,0.000137,-0.0038,False
IEEE 30-Bus,OSHO,0.641816,0.640946,0.641802,0.64101,0.640864,0.640592,-1.4e-05,6.4e-05,-0.0022,False
IEEE 118-Bus,BBO,0.853821,0.75247,0.863974,0.762758,0.739563,0.701394,0.010153,0.010288,1.1891,True
IEEE 118-Bus,GWO,0.765952,0.643797,0.781743,0.658085,0.617555,0.588744,0.015791,0.014288,2.0616,True
IEEE 118-Bus,SHO,0.451615,0.371406,0.456735,0.375134,0.364917,0.358206,0.00512,0.003728,1.1337,True
IEEE 118-Bus,CSHO,0.449205,0.362943,0.452765,0.36583,0.357935,0.352769,0.00356,0.002887,0.7925,True
IEEE 118-Bus,OSHO,0.49017,0.397802,0.498191,0.402952,0.388864,0.379665,0.008021,0.00515,1.6364,True
NRPG 246-Bus,BBO,1.663272,1.662982,1.663298,1.663024,1.662927,1.662733,2.6e-05,4.2e-05,0.0016,True
NRPG 246-Bus,GWO,1.601213,1.599521,1.601266,1.599647,1.599271,1.598964,5.3e-05,0.000126,0.0033,True
NRPG 246-Bus,SHO,1.55466,1.553699,1.55469,1.55377,1.553559,1.553387,3e-05,7.1e-05,0.0019,True
NRPG 246-Bus,CSHO,1.565125,1.563235,1.56518,1.56337,1.562971,1.562649,5.5e-05,0.000135,0.0035,True
NRPG 246-Bus,OSHO,1.555049,1.554206,1.555075,1.554269,1.554083,1.553931,2.6e-05,6.3e-05,0.0017,True
