Budget_name,CE_budget_kgh,Pct_baseline,Mu,Algorithm,E_ATC_mean,E_ATC_std,VaR90_mean,CE_achieved_mean,CE_achieved_std,Binding_rate_pct,VaR90_sat_pct
50pct,112.73,50.0,1.0,BBO,0.72838,0.03587,0.68855,244.777,9.176,0.0,90.0
50pct,112.73,50.0,1.0,GWO,0.7693,0.01044,0.69802,218.796,4.042,0.0,100.0
60pct,135.28,60.0,1.0,BBO,0.75004,0.01779,0.69997,242.658,8.463,0.0,100.0
60pct,135.28,60.0,1.0,GWO,0.7692,0.01477,0.69641,220.81,4.582,0.0,100.0
70pct,157.83,70.0,0.3,BBO,0.76065,0.00977,0.70343,245.657,7.664,0.0,100.0
70pct,157.83,70.0,0.3,GWO,0.7757,0.00469,0.70122,227.706,5.065,0.0,100.0
80pct,180.38,80.0,0.3,BBO,0.75525,0.01768,0.69875,243.118,8.078,0.0,100.0
80pct,180.38,80.0,0.3,GWO,0.77514,0.00757,0.70303,231.18,3.909,0.0,100.0
90pct,202.92,90.0,0.3,BBO,0.75462,0.01702,0.69954,248.931,8.714,0.0,100.0
90pct,202.92,90.0,0.3,GWO,0.77665,0.00399,0.70376,233.548,5.657,0.0,100.0
100pct,225.47,100.0,0.3,BBO,0.76226,0.01271,0.70152,242.977,6.482,0.0,100.0
100pct,225.47,100.0,0.3,GWO,0.7768,0.00588,0.70174,237.927,6.475,10.0,100.0
120pct,270.56,120.0,0.3,BBO,0.75426,0.02252,0.70004,270.361,2.172,90.0,100.0
120pct,270.56,120.0,0.3,GWO,0.78143,0.00641,0.70843,266.278,2.333,100.0,100.0
