Contingency,Label,Short_label,Is_monitored,Is_critical,R2,RMSE_PU,MAE_PU,p95_err_PU,max_err_PU,n_converged,n_diverged
normal,Normal operating conditions,Normal ops,False,False,-1.0,0.16089,0.153423,0.252755,0.26905,50,0
line_0,Line 0: bus1--bus2 removed,L0(1-2),False,True,-1.0,0.216251,0.210793,0.285219,0.315712,36,14
line_1,Line 1: bus1--bus3 removed,L1(1-3),False,True,-1.0,0.132718,0.123133,0.228676,0.247001,50,0
line_2,Line 2: bus2--bus4 removed,L2(2-4),False,True,-1.0,0.139079,0.131673,0.214033,0.252355,50,0
line_3,Line 3: bus3--bus4 removed,L3(3-4),False,True,-1.0,0.133808,0.124282,0.230009,0.248588,50,0
line_4,Line 4: bus2--bus5 removed,L4(2-5),False,True,-1.0,0.191827,0.186323,0.272316,0.286787,50,0
line_5,Line 5: bus2--bus6 removed,L5(2-6),False,True,-1.0,0.184765,0.178813,0.269613,0.288921,50,0
line_6,Line 6: bus4--bus6 removed,L6(4-6),False,True,-1.0,0.364219,0.36097,0.433293,0.457009,50,0
line_7,Line 7: bus5--bus7 removed,L7(5-7),False,True,-1.0,0.155443,0.147729,0.245949,0.266433,50,0
line_8,Line 8: bus6--bus7 removed,L8(6-7),False,True,-1.0,0.149679,0.141123,0.242084,0.262057,50,0
line_9,Line 9: bus6--bus8 removed,L9(6-8),False,True,-1.0,0.163876,0.157079,0.237506,0.263892,50,0
line_10,Line 10: bus12--bus14 removed,L10(12-14),False,True,-1.0,0.154205,0.146415,0.245613,0.261795,50,0
line_11,Line 11: bus12--bus15 removed,L11(12-15),False,True,-1.0,0.119785,0.10994,0.20855,0.225432,50,0
line_12,Line 12: bus12--bus16 removed,L12(12-16),False,True,-1.0,0.127102,0.117717,0.213755,0.244516,50,0
line_13,Line 13: bus14--bus15 removed,L13(14-15),False,True,-1.0,0.159233,0.151657,0.251545,0.268928,50,0
line_14,Line 14: bus16--bus17 removed,L14(16-17),False,True,-1.0,0.143834,0.135413,0.236715,0.258089,50,0
line_15,Line 15: bus15--bus18 removed,L15(15-18),False,True,-1.0,0.140777,0.132354,0.23093,0.254952,50,0
line_16,Line 16: bus18--bus19 removed,L16(18-19),False,True,-1.0,0.151925,0.143859,0.243066,0.269553,50,0
line_17,Line 17: bus19--bus20 removed,L17(19-20),False,True,-1.0,0.189683,0.182556,0.282947,0.303711,50,0
line_18,Line 18: bus10--bus20 removed,L18(10-20),False,True,-1.0,0.199054,0.192186,0.291731,0.310273,50,0
line_19,Line 19: bus10--bus17 removed,L19(10-17),False,True,-1.0,0.194859,0.187259,0.292631,0.313296,50,0
line_20,Line 20: bus10--bus21 removed,L20(10-21),False,True,-1.0,0.166036,0.158536,0.258871,0.275946,50,0
line_21,Line 21: bus10--bus22 removed,L21(10-22),False,True,-1.0,0.162401,0.15494,0.254801,0.271015,50,0
line_22,Line 22: bus21--bus22 removed,L22(21-22),False,True,-1.0,0.160524,0.153097,0.252238,0.268352,50,0
line_23,Line 23: bus15--bus23 removed,L23(15-23),False,True,-1.0,0.143601,0.135027,0.230859,0.257953,50,0
line_24,Line 24: bus22--bus24 removed,L24(22-24),False,True,-1.0,0.167754,0.160622,0.25898,0.276287,50,0
line_25,Line 25: bus23--bus24 removed,L25(23-24),False,True,-1.0,0.156237,0.148218,0.245894,0.270905,50,0
line_26,Line 26: bus24--bus25 removed,L26(24-25),False,True,-1.0,0.169713,0.161202,0.269894,0.286522,50,0
line_27,Line 27: bus25--bus26 removed,L27(25-26),False,True,-1.0,0.15204,0.144053,0.242372,0.25763,50,0
line_28,Line 28: bus25--bus27 removed,L28(25-27),False,True,-1.0,0.185506,0.177595,0.290109,0.309174,50,0
line_29,Line 29: bus27--bus29 removed,L29(27-29),False,True,-1.0,0.162009,0.154604,0.253803,0.269943,50,0
line_30,Line 30: bus27--bus30 removed,L30(27-30),False,True,-1.0,0.162443,0.155048,0.254337,0.270165,50,0
line_31,Line 31: bus29--bus30 removed,L31(29-30),False,True,-1.0,0.161302,0.153851,0.253225,0.269315,50,0
line_32,Line 32: bus8--bus28 removed,L32(8-28),False,True,-1.0,0.16116,0.153742,0.252824,0.269133,50,0
line_33,Line 33: bus6--bus28 removed,L33(6-28),False,True,-1.0,0.172227,0.165217,0.259641,0.276024,50,0
trafo_0,Trafo 0: bus6--bus9 removed,T0(6-9),False,True,-1.0,0.27956,0.273564,0.382446,0.401867,50,0
trafo_1,Trafo 1: bus6--bus10 removed,T1(6-10),False,False,-1.0,0.214806,0.208064,0.315984,0.332671,50,0
trafo_2,Trafo 2: bus11--bus9 removed,T2(11-9),False,False,-1.0,0.162255,0.155027,0.237685,0.265768,50,0
trafo_3,Trafo 3: bus10--bus9 removed,T3(10-9),False,True,-1.0,0.289212,0.282523,0.391717,0.41612,50,0
trafo_4,Monitored trafo 4: bus4--bus12 removed,T4(4-12),True,True,-1.0,0.642357,0.642178,0.657682,0.658995,50,0
trafo_5,Trafo 5: bus12--bus13 removed,T5(12-13),False,False,-1.0,0.160124,0.154377,0.228093,0.240585,50,0
trafo_6,Trafo 6: bus28--bus27 removed,T6(28-27),False,False,-1.0,0.25058,0.244149,0.343356,0.372101,50,0
